iter	Passed	Remaining
294	3511	20295
295	3522	20279
296	3531	20250
297	3541	20224
298	3550	20198
299	3559	20172
300	3567	20137
301	3577	20113
302	3587	20090
303	3597	20072
304	3607	20046
305	3618	20029
306	3627	20005
307	3637	19984
308	3647	19961
309	3658	19944
310	3668	19921
311	3675	19883
312	3686	19868
313	3696	19849
314	3706	19825
315	3717	19810
316	3727	19790
317	3737	19767
318	3747	19745
319	3755	19716
320	3764	19690
321	3773	19666
322	3783	19645
323	3793	19622
324	3803	19602
325	3815	19594
326	3827	19580
327	3836	19558
328	3843	19523
329	3854	19505
330	3864	19485
331	3874	19465
332	3884	19445
333	3894	19424
334	3904	19407
335	3914	19388
336	3925	19371
337	3934	19346
338	3944	19328
339	3955	19310
340	3964	19289
341	3971	19253
342	3982	19236
343	3992	19220
344	4002	19201
345	4013	19183
346	4023	19165
347	4032	19140
348	4042	19123
349	4052	19106
350	4062	19086
351	4073	19069
352	4082	19047
353	4094	19038
354	4105	19023
355	4114	19000
356	4124	18980
357	4133	18957
358	4143	18939
359	4153	18921
360	4163	18902
361	4173	18883
362	4183	18865
363	4192	18841
364	4202	18824
365	4213	18809
366	4222	18790
367	4233	18775
368	4244	18759
369	4253	18740
370	4264	18722
371	4274	18706
372	4284	18686
373	4295	18676
374	4307	18666
375	4318	18653
376	4328	18636
377	4341	18628
378	4352	18615
379	4365	18611
380	4378	18604
381	4392	18603
382	4404	18597
383	4417	18589
384	4430	18585
385	4444	18584
386	4457	18580
387	4470	18574
388	4483	18569
389	4497	18565
390	4509	18559
391	4521	18548
392	4533	18537
393	4545	18529
394	4556	18515
395	4569	18508
396	4581	18500
397	4594	18493
398	4606	18484
399	4618	18473
400	4632	18472
401	4644	18462
402	4657	18455
403	4670	18449
404	4685	18451
405	4700	18453
406	4710	18437
407	4721	18424
408	4735	18420
409	4747	18409
410	4757	18392
411	4767	18375
412	4777	18359
413	4788	18343
414	4798	18327
415	4808	18308
416	4817	18289
417	4826	18268
418	4835	18246
419	4845	18230
420	4855	18212
421	4866	18196
422	4878	18187
423	4890	18176
424	4900	18161
425	4911	18145
426	4921	18129
427	4930	18108
428	4939	18088
429	4947	18064
430	4957	18045
431	4966	18026
432	4976	18010
433	4986	17994
434	4996	17976
435	5006	17960
436	5016	17940
437	5026	17925
438	5036	17909
439	5045	17890
440	5056	17875
441	5066	17858
442	5076	17842
443	5086	17824
444	5098	17815
445	5108	17799
446	5118	17782
447	5128	17766
448	5138	17750
449	5146	17727
450	5155	17706
451	5165	17689
452	5174	17672
453	5184	17653
454	5193	17636
455	5203	17617
456	5211	17596
457	5222	17581
458	5231	17564
459	5243	17553
460	5254	17541
461	5263	17523
462	5275	17512
463	5286	17499
464	5299	17493
465	5309	17478
466	5319	17460
467	5328	17442
468	5338	17426
469	5348	17410
470	5358	17394
471	5367	17377
472	5377	17359
473	5387	17343
474	5398	17330
475	5408	17317
476	5420	17305
477	5430	17290
478	5439	17272
479	5449	17257
480	5460	17245
481	5470	17229
482	5480	17213
483	5493	17206
484	5506	17200
485	5517	17187
486	5529	17178
487	5539	17162
488	5548	17145
489	5558	17129
490	5568	17113
491	5577	17094
492	5588	17082
493	5598	17067
494	5608	17051
495	5617	17033
496	5627	17018
497	5638	17004
498	5648	16991
499	5657	16973
500	5668	16959
501	5677	16943
502	5689	16933
503	5701	16924
504	5711	16909
505	5721	16893
506	5731	16878
507	5740	16860
508	5750	16844
509	5761	16832
510	5771	16816
511	5782	16806
512	5793	16791
513	5804	16781
514	5816	16772
515	5828	16761
516	5838	16747
517	5849	16734
518	5860	16723
519	5870	16708
520	5882	16699
521	5893	16686
522	5906	16679
523	5916	16666
524	5926	16650
525	5936	16634
526	5947	16623
527	5957	16609
528	5968	16595
529	5979	16583
530	5992	16576
531	6003	16566
532	6013	16551
533	6025	16541
534	6035	16528
535	6046	16515
536	6055	16498
537	6067	16487
538	6079	16479
539	6090	16467
540	6101	16454
541	6114	16447
542	6126	16438
543	6138	16428
544	6148	16415
545	6159	16403
546	6171	16392
547	6183	16383
548	6192	16366
549	6202	16352
550	6213	16339
551	6223	16325
552	6234	16312
553	6245	16300
554	6257	16290
555	6269	16283
556	6284	16281
557	6297	16274
558	6312	16271
559	6326	16268
560	6341	16265
561	6363	16283
562	6416	16377
563	6444	16408
564	6459	16405
565	6475	16407
566	6488	16397
567	6503	16395
568	6516	16388
569	6531	16386
570	6544	16379
571	6556	16368
572	6568	16357
573	6581	16349
574	6593	16341
575	6606	16333
576	6617	16321
577	6628	16307
578	6639	16294
579	6650	16282
580	6662	16270
581	6672	16256
582	6683	16244
583	6694	16232
584	6709	16229
585	6723	16224
586	6742	16231
587	6755	16222
588	6769	16216
589	6782	16209
590	6793	16196
591	6805	16185
592	6816	16173
593	6827	16160
594	6837	16146
595	6848	16133
596	6860	16122
597	6872	16112
598	6884	16101
599	6895	16088
600	6905	16074
601	6917	16064
602	6928	16052
603	6942	16046
604	6955	16037
605	6967	16027
606	6976	16009
607	6987	15998
608	6998	15984
609	7008	15970
610	7020	15960
611	7033	15950
612	7044	15938
613	7056	15927
614	7069	15921
615	7081	15910
616	7091	15895
617	7102	15883
618	7113	15871
619	7124	15858
620	7136	15847
621	7149	15839
622	7159	15825
623	7171	15814
624	7182	15800
625	7193	15789
626	7205	15777
627	7215	15764
628	7226	15751
629	7237	15738
630	7249	15728
631	7261	15717
632	7272	15705
633	7283	15693
634	7295	15681
635	7305	15668
636	7317	15657
637	7328	15645
638	7340	15634
639	7368	15658
640	7381	15649
641	7389	15630
642	7400	15618
643	7412	15607
644	7424	15597
645	7436	15586
646	7446	15572
647	7459	15563
648	7470	15551
649	7482	15541
650	7494	15529
651	7505	15517
652	7516	15504
653	7528	15494
654	7540	15483
655	7548	15464
656	7561	15456
657	7573	15446
658	7583	15431
659	7594	15420
660	7606	15408
661	7618	15397
662	7629	15384
663	7640	15372
664	7651	15360
665	7663	15349
666	7674	15338
667	7684	15323
668	7694	15308
669	7703	15292
670	7713	15278
671	7724	15265
672	7735	15253
673	7747	15242
674	7762	15236
675	7773	15224
676	7784	15212
677	7795	15199
678	7806	15187
679	7819	15178
680	7830	15166
681	7842	15155
682	7854	15144
683	7866	15134
684	7877	15121
685	7888	15109
686	7900	15098
687	7911	15087
688	7921	15073
689	7932	15060
690	7943	15047
691	7954	15035
692	7966	15025
693	7977	15012
694	7988	14999
695	7999	14986
696	8009	14973
697	8019	14959
698	8029	14944
699	8036	14925
700	8048	14914
701	8060	14903
702	8071	14891
703	8079	14874
704	8089	14859
705	8100	14847
706	8112	14836
707	8123	14824
708	8135	14813
709	8146	14801
710	8157	14789
711	8169	14779
712	8183	14770
713	8193	14758
714	8203	14743
715	8215	14733
716	8229	14726
717	8242	14717
718	8254	14706
719	8266	14695
720	8279	14687
721	8290	14674
722	8297	14656
723	8309	14645
724	8322	14635
725	8332	14622
726	8343	14610
727	8356	14600
728	8369	14592
729	8382	14583
730	8393	14570
731	8405	14559
732	8416	14547
733	8427	14534
734	8439	14524
735	8451	14514
736	8463	14504
737	8475	14493
738	8487	14482
739	8497	14469
740	8508	14456
741	8521	14446
742	8532	14435
743	8543	14423
744	8555	14412
745	8569	14404
746	8582	14395
747	8593	14384
748	8607	14375
749	8618	14363
750	8628	14350
751	8641	14340
752	8652	14329
753	8664	14318
754	8675	14305
755	8687	14294
756	8699	14284
757	8711	14273
758	8721	14260
759	8734	14250
760	8745	14237
761	8755	14225
762	8770	14218
763	8785	14213
764	8800	14206
765	8813	14198
766	8830	14195
767	8848	14194
768	8864	14189
769	8879	14184
770	8891	14173
771	8903	14162
772	8915	14151
773	8927	14141
774	8938	14129
775	8948	14113
776	8960	14103
777	8968	14086
778	8981	14077
779	8996	14071
780	9008	14060
781	9020	14049
782	9032	14038
783	9044	14028
784	9055	14015
785	9068	14006
786	9080	13995
787	9093	13987
788	9105	13976
789	9117	13965
790	9130	13955
791	9143	13946
792	9159	13941
793	9172	13932
794	9184	13921
795	9197	13912
796	9210	13903
797	9221	13889
798	9233	13879
799	9246	13869
800	9258	13859
801	9270	13848
802	9285	13841
803	9297	13831
804	9309	13819
805	9322	13810
806	9330	13793
807	9343	13783
808	9355	13772
809	9367	13761
810	9377	13748
811	9388	13735
812	9399	13724
813	9413	13715
814	9425	13704
815	9436	13691
816	9448	13680
817	9463	13674
818	9475	13664
819	9489	13655
820	9501	13644
821	9513	13633
822	9524	13621
823	9535	13608
824	9545	13595
825	9558	13585
826	9569	13573
827	9579	13559
828	9589	13545
829	9601	13534
830	9612	13522
831	9625	13512
832	9636	13500
833	9646	13486
834	9657	13474
835	9669	13463
836	9680	13451
837	9692	13440
838	9703	13427
839	9714	13415
840	9725	13403
841	9736	13390
842	9747	13377
843	9759	13366
844	9771	13355
845	9782	13343
846	9792	13330
847	9805	13321
848	9817	13309
849	9828	13297
850	9841	13288
851	9852	13275
852	9865	13266
853	9877	13254
854	9888	13242
855	9897	13227
856	9909	13216
857	9921	13205
858	9932	13193
859	9944	13182
860	9956	13170
861	9969	13161
862	9980	13149
863	9992	13138
864	10005	13129
865	10019	13119
866	10029	13107
867	10041	13095
868	10053	13084
869	10065	13073
870	10076	13061
871	10088	13049
872	10099	13038
873	10111	13027
874	10123	13015
875	10135	13004
876	10145	12991
877	10157	12979
878	10168	12967
879	10179	12955
880	10189	12942
881	10201	12931
882	10215	12923
883	10227	12911
884	10237	12898
885	10248	12886
886	10260	12874
887	10270	12861
888	10281	12849
889	10292	12836
890	10303	12824
891	10316	12814
892	10328	12803
893	10339	12790
894	10349	12778
895	10361	12767
896	10372	12754
897	10384	12744
898	10396	12731
899	10404	12716
900	10415	12704
901	10427	12693
902	10438	12681
903	10448	12668
904	10461	12658
905	10472	12645
906	10483	12632
907	10493	12619
908	10503	12606
909	10513	12593
910	10524	12581
911	10534	12567
912	10544	12553
913	10555	12541
914	10566	12529
915	10578	12518
916	10588	12505
917	10599	12493
918	10611	12482
919	10624	12472
920	10635	12460
921	10648	12450
922	10660	12439
923	10671	12427
924	10682	12415
925	10694	12403
926	10704	12390
927	10714	12377
928	10726	12366
929	10737	12354
930	10746	12339
931	10758	12328
932	10769	12315
933	10779	12303
934	10791	12291
935	10802	12279
936	10813	12267
937	10825	12256
938	10838	12246
939	10850	12235
940	10861	12223
941	10870	12209
942	10881	12196
943	10892	12184
944	10902	12171
945	10913	12159
946	10922	12145
947	10934	12133
948	10945	12121
949	10957	12110
950	10968	12099
951	10980	12087
952	10991	12075
953	11003	12064
954	11015	12053
955	11027	12042
956	11040	12032
957	11053	12023
958	11065	12012
959	11076	11999
960	11088	11988
961	11099	11975
962	11110	11964
963	11120	11951
964	11131	11938
965	11143	11927
966	11155	11917
967	11166	11904
968	11177	11892
969	11185	11877
970	11197	11865
971	11207	11853
972	11218	11840
973	11230	11830
974	11239	11816
975	11251	11805
976	11263	11793
977	11274	11781
978	11285	11769
979	11297	11758
980	11309	11747
981	11320	11735
982	11330	11722
983	11341	11710
984	11353	11699
985	11365	11688
986	11376	11676
987	11386	11663
988	11397	11651
989	11408	11638
990	11420	11627
991	11432	11616
992	11443	11604
993	11455	11594
994	11468	11583
995	11478	11570
996	11489	11558
997	11500	11546
998	11511	11534
999	11521	11521
1000	11532	11509
1001	11544	11498
1002	11555	11486
1003	11567	11474
1004	11579	11464
1005	11590	11452
1006	11602	11440
1007	11612	11427
1008	11622	11414
1009	11634	11404
1010	11656	11402
1011	11665	11388
1012	11674	11375
1013	11685	11362
1014	11696	11350
1015	11707	11338
1016	11717	11325
1017	11728	11313
1018	11739	11301
1019	11750	11289
1020	11763	11279
1021	11774	11267
1022	11784	11255
1023	11796	11243
1024	11808	11232
1025	11818	11219
1026	11829	11207
1027	11841	11196
1028	11853	11185
1029	11863	11172
1030	11874	11160
1031	11885	11148
1032	11896	11136
1033	11907	11124
1034	11919	11113
1035	11930	11101
1036	11942	11090
1037	11952	11077
1038	11963	11065
1039	11974	11053
1040	11985	11041
1041	11996	11029
1042	12007	11017
1043	12017	11004
1044	12028	10992
1045	12039	10980
1046	12053	10971
1047	12064	10959
1048	12076	10948
1049	12088	10936
1050	12098	10924
1051	12108	10911
1052	12118	10898
1053	12128	10885
1054	12139	10873
1055	12148	10860
1056	12160	10848
1057	12171	10836
1058	12179	10822
1059	12191	10811
1060	12203	10800
1061	12215	10788
1062	12225	10776
1063	12235	10763
1064	12246	10752
1065	12259	10741
1066	12272	10731
1067	12284	10720
1068	12294	10707
1069	12305	10695
1070	12316	10683
1071	12327	10671
1072	12338	10659
1073	12347	10646
1074	12358	10633
1075	12370	10623
1076	12382	10612
1077	12394	10600
1078	12405	10588
1079	12416	10576
1080	12427	10564
1081	12439	10554
1082	12451	10543
1083	12465	10533
1084	12475	10521
1085	12486	10509
1086	12497	10497
1087	12508	10485
1088	12520	10473
1089	12532	10462
1090	12542	10449
1091	12552	10437
1092	12562	10425
1093	12572	10411
1094	12582	10399
1095	12593	10387
1096	12605	10376
1097	12614	10362
1098	12625	10350
1099	12635	10338
1100	12647	10326
1101	12659	10315
1102	12671	10305
1103	12685	10295
1104	12693	10281
1105	12705	10270
1106	12717	10259
1107	12730	10248
1108	12742	10237
1109	12754	10226
1110	12766	10215
1111	12778	10204
1112	12789	10192
1113	12800	10180
1114	12813	10170
1115	12824	10158
1116	12838	10149
1117	12850	10137
1118	12866	10129
1119	12877	10117
1120	12888	10106
1121	12899	10094
1122	12911	10083
1123	12923	10071
1124	12935	10060
1125	12981	10075
1126	13018	10084
1127	13034	10075
1128	13045	10064
1129	13056	10052
1130	13072	10044
1131	13085	10033
1132	13097	10022
1133	13109	10011
1134	13119	9998
1135	13130	9986
1136	13140	9974
1137	13152	9962
1138	13164	9951
1139	13174	9938
1140	13184	9925
1141	13195	9913
1142	13206	9901
1143	13217	9890
1144	13227	9877
1145	13238	9865
1146	13248	9852
1147	13261	9842
1148	13274	9831
1149	13284	9818
1150	13296	9807
1151	13309	9797
1152	13320	9785
1153	13332	9774
1154	13343	9762
1155	13355	9750
1156	13367	9739
1157	13378	9728
1158	13389	9715
1159	13400	9703
1160	13409	9690
1161	13420	9678
1162	13428	9664
1163	13439	9652
1164	13451	9640
1165	13462	9629
1166	13473	9617
1167	13486	9607
1168	13498	9595
1169	13509	9583
1170	13520	9571
1171	13532	9560
1172	13543	9548
1173	13556	9537
1174	13572	9529
1175	13585	9519
1176	13599	9509
1177	13612	9498
1178	13624	9487
1179	13638	9477
1180	13650	9466
1181	13668	9459
1182	13681	9448
1183	13690	9435
1184	13702	9423
1185	13712	9411
1186	13722	9399
1187	13734	9387
1188	13745	9375
1189	13755	9363
1190	13765	9350
1191	13775	9337
1192	13787	9326
1193	13798	9314
1194	13810	9303
1195	13821	9291
1196	13832	9279
1197	13842	9267
1198	13856	9256
1199	13867	9245
1200	13878	9232
1201	13889	9221
1202	13900	9209
1203	13911	9196
1204	13921	9184
1205	13931	9172
1206	13943	9160
1207	13954	9149
1208	13965	9136
1209	13975	9124
1210	13986	9112
1211	13997	9100
1212	14007	9088
1213	14017	9075
1214	14029	9064
1215	14039	9051
1216	14049	9039
1217	14063	9029
1218	14074	9017
1219	14083	9004
1220	14094	8992
1221	14104	8979
1222	14116	8968
1223	14128	8956
1224	14138	8944
1225	14149	8932
1226	14160	8921
1227	14169	8908
1228	14180	8896
1229	14192	8884
1230	14202	8872
1231	14213	8860
1232	14223	8848
1233	14235	8836
1234	14247	8825
1235	14259	8813
1236	14271	8802
1237	14282	8790
1238	14292	8778
1239	14305	8767
1240	14317	8756
1241	14330	8745
1242	14341	8733
1243	14351	8721
1244	14358	8707
1245	14365	8693
1246	14376	8681
1247	14387	8669
1248	14398	8657
1249	14409	8645
1250	14420	8633
1251	14431	8621
1252	14439	8608
1253	14449	8595
1254	14460	8584
1255	14472	8572
1256	14485	8561
1257	14495	8549
1258	14506	8538
1259	14518	8526
1260	14528	8514
1261	14540	8503
1262	14550	8490
1263	14562	8479
1264	14570	8466
1265	14580	8453
1266	14591	8441
1267	14600	8428
1268	14611	8417
1269	14623	8405
1270	14634	8394
1271	14643	8380
1272	14654	8369
1273	14665	8357
1274	14687	8351
1275	14701	8341
1276	14713	8330
1277	14723	8317
1278	14735	8306
1279	14747	8295
1280	14757	8282
1281	14768	8271
1282	14780	8260
1283	14791	8248
1284	14799	8234
1285	14810	8223
1286	14822	8211
1287	14834	8200
1288	14845	8188
1289	14857	8177
1290	14868	8165
1291	14881	8154
1292	14892	8142
1293	14904	8131
1294	14914	8119
1295	14925	8107
1296	14938	8096
1297	14949	8085
1298	14961	8074
1299	14974	8063
1300	14986	8051
1301	14998	8040
1302	15010	8029
1303	15021	8017
1304	15034	8006
1305	15047	7995
1306	15058	7984
1307	15069	7972
1308	15083	7962
1309	15095	7951
1310	15108	7940
1311	15118	7928
1312	15130	7916
1313	15142	7905
1314	15152	7893
1315	15163	7881
1316	15173	7869
1317	15184	7857
1318	15194	7844
1319	15204	7832
1320	15215	7820
1321	15225	7808
1322	15236	7796
1323	15250	7786
1324	15262	7775
1325	15274	7764
1326	15290	7754
1327	15302	7743
1328	15314	7732
1329	15328	7721
1330	15341	7710
1331	15352	7699
1332	15363	7687
1333	15375	7676
1334	15386	7664
1335	15396	7651
1336	15406	7639
1337	15417	7628
1338	15429	7616
1339	15441	7605
1340	15451	7593
1341	15464	7582
1342	15474	7570
1343	15485	7558
1344	15497	7547
1345	15509	7536
1346	15520	7523
1347	15531	7512
1348	15543	7501
1349	15555	7489
1350	15566	7478
1351	15578	7466
1352	15589	7454
1353	15601	7443
1354	15610	7430
1355	15620	7418
1356	15630	7406
1357	15642	7395
1358	15652	7382
1359	15662	7370
1360	15672	7358
1361	15683	7346
1362	15696	7335
1363	15708	7324
1364	15721	7313
1365	15732	7302
1366	15745	7290
1367	15755	7278
1368	15766	7267
1369	15777	7255
1370	15788	7243
1371	15800	7232
1372	15809	7219
1373	15820	7208
1374	15832	7196
1375	15844	7185
1376	15854	7173
1377	15865	7161
1378	15875	7149
1379	15886	7137
1380	15897	7125
1381	15910	7114
1382	15922	7103
1383	15933	7091
1384	15943	7079
1385	15954	7068
1386	15962	7054
1387	15973	7043
1388	15983	7031
1389	15994	7019
1390	16005	7007
1391	16016	6995
1392	16026	6983
1393	16038	6972
1394	16048	6960
1395	16059	6948
1396	16069	6936
1397	16079	6924
1398	16090	6912
1399	16101	6900
1400	16113	6889
1401	16125	6878
1402	16138	6867
1403	16148	6854
1404	16159	6843
1405	16169	6831
1406	16179	6819
1407	16191	6807
1408	16201	6795
1409	16212	6784
1410	16223	6772
1411	16235	6760
1412	16245	6748
1413	16255	6736
1414	16266	6725
1415	16278	6713
1416	16289	6702
1417	16300	6690
1418	16313	6679
1419	16325	6668
1420	16336	6656
1421	16345	6644
1422	16356	6632
1423	16368	6620
1424	16386	6612
1425	16401	6601
1426	16414	6590
1427	16428	6580
1428	16441	6569
1429	16456	6559
1430	16469	6548
1431	16485	6538
1432	16495	6526
1433	16507	6515
1434	16517	6503
1435	16528	6491
1436	16536	6479
1437	16548	6467
1438	16557	6455
1439	16568	6443
1440	16579	6431
1441	16588	6419
1442	16600	6407
1443	16612	6396
1444	16622	6384
1445	16632	6372
1446	16643	6360
1447	16654	6348
1448	16666	6337
1449	16678	6326
1450	16689	6314
1451	16700	6302
1452	16712	6291
1453	16723	6279
1454	16733	6267
1455	16743	6255
1456	16753	6243
1457	16764	6232
1458	16775	6220
1459	16786	6208
1460	16797	6197
1461	16807	6185
1462	16818	6173
1463	16826	6160
1464	16836	6148
1465	16848	6137
1466	16858	6125
1467	16869	6113
1468	16882	6102
1469	16895	6091
1470	16906	6080
1471	16917	6068
1472	16927	6056
1473	16938	6044
1474	16949	6032
1475	16960	6021
1476	16972	6009
1477	16984	5998
1478	16994	5986
1479	17004	5974
1480	17016	5963
1481	17027	5951
1482	17039	5940
1483	17050	5928
1484	17058	5915
1485	17069	5904
1486	17080	5892
1487	17093	5881
1488	17104	5869
1489	17112	5857
1490	17124	5845
1491	17134	5834
1492	17144	5822
1493	17156	5810
1494	17166	5798
1495	17177	5786
1496	17188	5775
1497	17198	5763
1498	17209	5751
1499	17220	5740
1500	17232	5728
1501	17242	5716
1502	17253	5705
1503	17265	5693
1504	17275	5682
1505	17303	5675
1506	17315	5664
1507	17326	5652
1508	17337	5641
1509	17349	5629
1510	17360	5618
1511	17373	5607
1512	17384	5595
1513	17399	5585
1514	17410	5573
1515	17419	5561
1516	17431	5550
1517	17441	5538
1518	17452	5526
1519	17462	5514
1520	17473	5502
1521	17483	5490
1522	17496	5479
1523	17508	5468
1524	17519	5456
1525	17527	5444
1526	17538	5432
1527	17549	5420
1528	17560	5409
1529	17572	5397
1530	17583	5386
1531	17595	5375
1532	17607	5363
1533	17619	5352
1534	17632	5341
1535	17643	5329
1536	17654	5318
1537	17666	5306
1538	17677	5295
1539	17688	5283
1540	17701	5272
1541	17713	5261
1542	17724	5249
1543	17731	5236
1544	17741	5224
1545	17753	5213
1546	17763	5201
1547	17774	5189
1548	17785	5178
1549	17797	5166
1550	17808	5155
1551	17821	5144
1552	17832	5132
1553	17842	5120
1554	17851	5108
1555	17862	5097
1556	17873	5085
1557	17885	5074
1558	17898	5062
1559	17909	5051
1560	17921	5040
1561	17932	5028
1562	17944	5016
1563	17955	5005
1564	17967	4994
1565	17979	4982
1566	17992	4971
1567	18002	4959
1568	18013	4948
1569	18024	4936
1570	18035	4924
1571	18045	4913
1572	18056	4901
1573	18067	4889
1574	18077	4878
1575	18087	4866
1576	18098	4854
1577	18109	4843
1578	18122	4831
1579	18133	4820
1580	18144	4808
1581	18154	4796
1582	18165	4785
1583	18176	4773
1584	18188	4762
1585	18199	4750
1586	18211	4739
1587	18221	4727
1588	18232	4715
1589	18243	4704
1590	18254	4692
1591	18266	4681
1592	18276	4669
1593	18287	4657
1594	18299	4646
1595	18311	4635
1596	18324	4624
1597	18335	4612
1598	18345	4600
1599	18356	4589
1600	18367	4577
1601	18378	4565
1602	18390	4554
1603	18399	4542
1604	18410	4531
1605	18422	4519
1606	18432	4507
1607	18443	4496
1608	18454	4484
1609	18465	4473
1610	18475	4461
1611	18488	4450
1612	18499	4438
1613	18511	4427
1614	18525	4416
1615	18535	4404
1616	18547	4393
1617	18557	4381
1618	18567	4369
1619	18577	4357
1620	18589	4346
1621	18600	4334
1622	18611	4323
1623	18622	4311
1624	18633	4299
1625	18643	4288
1626	18654	4276
1627	18665	4265
1628	18676	4253
1629	18688	4242
1630	18700	4230
1631	18713	4219
1632	18726	4208
1633	18739	4197
1634	18750	4185
1635	18763	4174
1636	18782	4165
1637	18797	4154
1638	18813	4143
1639	18825	4132
1640	18836	4120
1641	18848	4109
1642	18859	4097
1643	18870	4086
1644	18881	4074
1645	18893	4063
1646	18905	4052
1647	18919	4041
1648	18930	4029
1649	18940	4017
1650	18949	4005
1651	18959	3993
1652	18970	3982
1653	18982	3970
1654	18994	3959
1655	19005	3948
1656	19017	3936
1657	19027	3924
1658	19038	3913
1659	19048	3901
1660	19061	3890
1661	19072	3878
1662	19086	3867
1663	19099	3856
1664	19111	3845
1665	19123	3833
1666	19135	3822
1667	19147	3811
1668	19160	3799
1669	19172	3788
1670	19185	3777
1671	19196	3765
